sentiment,negative reviews
negative,Do yourself a favor and skip this one. The miserable was restaurant service and the room cleanliness was unacceptable.
negative,I can't believe how miserable this place was. The breakfast options was a disaster and the parking availability was appalling.
negative,A huge letdown. The unacceptable was parking availability and the view from the room was below standard.
negative,A huge letdown. The unbearable was location and the air conditioning was below standard.
negative,"I regret booking here. The unacceptable was so staff friendliness, and the security was even worse."
negative,A huge letdown. The dreadful was WiFi speed and the staff friendliness was below standard.
negative,A huge letdown. The horrible was WiFi speed and the restaurant service was below standard.
negative,"The stay was completely frustrating. The air conditioning was awful, and the bar was unacceptable."
negative,Do yourself a favor and skip this one. The dirty was staff friendliness and the pool was unacceptable.
negative,Never staying here again! The nightmarish was completely noise levels and the parking availability was miserable.
negative,"I had high hopes, but the pathetic was view from the room and the parking availability was disappointing."
negative,Avoid at all costs! The subpar was bathroom facilities and the parking availability made it unbearable.
negative,Never staying here again! The dirty was completely gym and the customer service was miserable.
negative,"I regret booking here. The shocking was so air conditioning, and the staff friendliness was even worse."
negative,"I regret booking here. The miserable was so staff friendliness, and the WiFi speed was even worse."
negative,"I had high hopes, but the dirty was bathroom facilities and the room cleanliness was disappointing."
negative,Avoid at all costs! The terrible was bar and the gym made it unbearable.
negative,I can't believe how nightmarish this place was. The gym was a disaster and the WiFi speed was appalling.
negative,"I had high hopes, but the shocking was bathroom facilities and the bar was disappointing."
negative,I can't believe how horrible this place was. The WiFi speed was a disaster and the bathroom facilities was appalling.
negative,A huge letdown. The pathetic was bed comfort and the pool was below standard.
negative,Worst experience ever! The frustrating was bar and the customer service ruined my trip.
negative,A huge letdown. The pathetic was bathroom facilities and the room cleanliness was below standard.
negative,A huge letdown. The awful was room cleanliness and the view from the room was below standard.
negative,Do yourself a favor and skip this one. The awful was bathroom facilities and the pool was unacceptable.
negative,"The stay was completely nightmarish. The room cleanliness was awful, and the location was unacceptable."
negative,"I had high hopes, but the subpar was WiFi speed and the pool was disappointing."
negative,"The stay was completely terrible. The customer service was awful, and the view from the room was unacceptable."
negative,Avoid at all costs! The unbearable was check-in process and the view from the room made it unbearable.
negative,A huge letdown. The dreadful was customer service and the room cleanliness was below standard.
negative,I can't believe how miserable this place was. The noise levels was a disaster and the gym was appalling.
negative,I can't believe how pathetic this place was. The pool was a disaster and the customer service was appalling.
negative,It was a nightmare! The pathetic was air conditioning and the breakfast options was simply horrible.
negative,"The stay was completely awful. The location was awful, and the air conditioning was unacceptable."
negative,"I had high hopes, but the disgusting was location and the bathroom facilities was disappointing."
negative,It was a nightmare! The unacceptable was customer service and the bathroom facilities was simply horrible.
negative,Never staying here again! The unacceptable was completely check-in process and the bathroom facilities was miserable.
negative,It was a nightmare! The subpar was security and the noise levels was simply horrible.
negative,Do yourself a favor and skip this one. The dreadful was noise levels and the view from the room was unacceptable.
negative,It was a nightmare! The dreadful was parking availability and the WiFi speed was simply horrible.
negative,"I regret booking here. The pathetic was so pool, and the noise levels was even worse."
negative,Do yourself a favor and skip this one. The unacceptable was gym and the parking availability was unacceptable.
negative,"The stay was completely dirty. The food quality was awful, and the gym was unacceptable."
negative,"I regret booking here. The unbearable was so breakfast options, and the bathroom facilities was even worse."
negative,A huge letdown. The disgusting was noise levels and the room cleanliness was below standard.
negative,"The stay was completely miserable. The security was awful, and the WiFi speed was unacceptable."
negative,"I regret booking here. The disgusting was so bed comfort, and the restaurant service was even worse."
negative,Avoid at all costs! The shocking was location and the restaurant service made it unbearable.
negative,"I regret booking here. The pathetic was so security, and the staff friendliness was even worse."
negative,I can't believe how dreadful this place was. The noise levels was a disaster and the parking availability was appalling.
negative,Never staying here again! The subpar was completely air conditioning and the check-in process was miserable.
negative,It was a nightmare! The miserable was spa and the food quality was simply horrible.
negative,Worst experience ever! The poor was security and the bathroom facilities ruined my trip.
negative,It was a nightmare! The dreadful was customer service and the breakfast options was simply horrible.
negative,A huge letdown. The dirty was customer service and the location was below standard.
negative,"I had high hopes, but the disgusting was breakfast options and the security was disappointing."
negative,I can't believe how miserable this place was. The spa was a disaster and the restaurant service was appalling.
negative,I can't believe how awful this place was. The noise levels was a disaster and the WiFi speed was appalling.
negative,"I regret booking here. The pathetic was so check-in process, and the restaurant service was even worse."
negative,It was a nightmare! The unbearable was air conditioning and the restaurant service was simply horrible.
negative,Worst experience ever! The subpar was gym and the bathroom facilities ruined my trip.
negative,A huge letdown. The miserable was breakfast options and the air conditioning was below standard.
negative,"I regret booking here. The poor was so breakfast options, and the check-in process was even worse."
negative,A huge letdown. The horrible was check-in process and the bar was below standard.
negative,Worst experience ever! The subpar was parking availability and the check-in process ruined my trip.
negative,Avoid at all costs! The dreadful was restaurant service and the bathroom facilities made it unbearable.
negative,I can't believe how miserable this place was. The check-in process was a disaster and the view from the room was appalling.
negative,"I regret booking here. The miserable was so bar, and the customer service was even worse."
negative,"I regret booking here. The pathetic was so location, and the customer service was even worse."
negative,Do yourself a favor and skip this one. The nightmarish was check-in process and the bar was unacceptable.
negative,Worst experience ever! The terrible was restaurant service and the pool ruined my trip.
negative,Do yourself a favor and skip this one. The disgusting was pool and the location was unacceptable.
negative,Do yourself a favor and skip this one. The pathetic was parking availability and the spa was unacceptable.
negative,Worst experience ever! The pathetic was WiFi speed and the spa ruined my trip.
negative,Worst experience ever! The pathetic was breakfast options and the bar ruined my trip.
negative,A huge letdown. The dirty was pool and the noise levels was below standard.
negative,It was a nightmare! The disgusting was staff friendliness and the WiFi speed was simply horrible.
negative,"I regret booking here. The shocking was so spa, and the air conditioning was even worse."
negative,It was a nightmare! The shocking was bed comfort and the restaurant service was simply horrible.
negative,"I regret booking here. The shocking was so room cleanliness, and the bar was even worse."
negative,It was a nightmare! The disgusting was customer service and the breakfast options was simply horrible.
negative,Never staying here again! The miserable was completely view from the room and the room cleanliness was miserable.
negative,I can't believe how nightmarish this place was. The parking availability was a disaster and the bathroom facilities was appalling.
negative,A huge letdown. The nightmarish was check-in process and the bathroom facilities was below standard.
negative,Worst experience ever! The frustrating was room cleanliness and the bar ruined my trip.
negative,Worst experience ever! The nightmarish was bed comfort and the bar ruined my trip.
negative,Avoid at all costs! The subpar was air conditioning and the gym made it unbearable.
negative,"The stay was completely dreadful. The security was awful, and the WiFi speed was unacceptable."
negative,"The stay was completely awful. The spa was awful, and the food quality was unacceptable."
negative,I can't believe how horrible this place was. The customer service was a disaster and the room cleanliness was appalling.
negative,"The stay was completely unacceptable. The restaurant service was awful, and the air conditioning was unacceptable."
negative,"I had high hopes, but the dreadful was pool and the staff friendliness was disappointing."
negative,Worst experience ever! The nightmarish was security and the bed comfort ruined my trip.
negative,It was a nightmare! The pathetic was view from the room and the pool was simply horrible.
negative,Never staying here again! The shocking was completely spa and the pool was miserable.
negative,I can't believe how dreadful this place was. The bed comfort was a disaster and the room cleanliness was appalling.
negative,Never staying here again! The pathetic was completely security and the bed comfort was miserable.
negative,Worst experience ever! The frustrating was view from the room and the noise levels ruined my trip.
negative,I can't believe how awful this place was. The gym was a disaster and the restaurant service was appalling.
negative,Worst experience ever! The disgusting was restaurant service and the location ruined my trip.
negative,Never staying here again! The poor was completely location and the noise levels was miserable.
negative,Worst experience ever! The frustrating was bathroom facilities and the staff friendliness ruined my trip.
negative,It was a nightmare! The dreadful was gym and the restaurant service was simply horrible.
negative,"I regret booking here. The terrible was so restaurant service, and the staff friendliness was even worse."
negative,Never staying here again! The frustrating was completely staff friendliness and the WiFi speed was miserable.
negative,Avoid at all costs! The nightmarish was restaurant service and the view from the room made it unbearable.
negative,"I regret booking here. The unbearable was so bathroom facilities, and the spa was even worse."
negative,It was a nightmare! The horrible was parking availability and the staff friendliness was simply horrible.
negative,"I had high hopes, but the unbearable was staff friendliness and the food quality was disappointing."
negative,It was a nightmare! The unbearable was view from the room and the air conditioning was simply horrible.
negative,Do yourself a favor and skip this one. The poor was security and the pool was unacceptable.
negative,It was a nightmare! The pathetic was bar and the staff friendliness was simply horrible.
negative,"I had high hopes, but the awful was noise levels and the spa was disappointing."
negative,I can't believe how horrible this place was. The security was a disaster and the customer service was appalling.
negative,Avoid at all costs! The disgusting was restaurant service and the noise levels made it unbearable.
negative,"The stay was completely subpar. The gym was awful, and the check-in process was unacceptable."
negative,"I regret booking here. The terrible was so staff friendliness, and the pool was even worse."
negative,It was a nightmare! The awful was bar and the view from the room was simply horrible.
negative,Never staying here again! The dirty was completely restaurant service and the bar was miserable.
negative,Worst experience ever! The dirty was spa and the bed comfort ruined my trip.
negative,I can't believe how dirty this place was. The staff friendliness was a disaster and the parking availability was appalling.
negative,"The stay was completely subpar. The bathroom facilities was awful, and the gym was unacceptable."
negative,I can't believe how unbearable this place was. The security was a disaster and the noise levels was appalling.
negative,"I regret booking here. The nightmarish was so customer service, and the view from the room was even worse."
negative,Avoid at all costs! The terrible was bed comfort and the check-in process made it unbearable.
negative,Do yourself a favor and skip this one. The awful was security and the WiFi speed was unacceptable.
negative,Do yourself a favor and skip this one. The awful was air conditioning and the staff friendliness was unacceptable.
negative,Never staying here again! The unacceptable was completely food quality and the security was miserable.
negative,"I regret booking here. The dirty was so WiFi speed, and the parking availability was even worse."
negative,"I had high hopes, but the dreadful was room cleanliness and the pool was disappointing."
negative,Avoid at all costs! The awful was noise levels and the air conditioning made it unbearable.
negative,"I had high hopes, but the dirty was room cleanliness and the WiFi speed was disappointing."
negative,"I regret booking here. The terrible was so staff friendliness, and the bar was even worse."
negative,"I regret booking here. The poor was so WiFi speed, and the pool was even worse."
negative,A huge letdown. The pathetic was customer service and the air conditioning was below standard.
negative,"The stay was completely nightmarish. The bed comfort was awful, and the WiFi speed was unacceptable."
negative,A huge letdown. The miserable was check-in process and the room cleanliness was below standard.
negative,"I had high hopes, but the horrible was food quality and the noise levels was disappointing."
negative,It was a nightmare! The unacceptable was noise levels and the room cleanliness was simply horrible.
negative,Do yourself a favor and skip this one. The unbearable was WiFi speed and the check-in process was unacceptable.
negative,"I had high hopes, but the awful was food quality and the spa was disappointing."
negative,Never staying here again! The dreadful was completely staff friendliness and the breakfast options was miserable.
negative,A huge letdown. The dirty was gym and the restaurant service was below standard.
negative,"The stay was completely pathetic. The gym was awful, and the bathroom facilities was unacceptable."
negative,It was a nightmare! The shocking was location and the staff friendliness was simply horrible.
negative,"I regret booking here. The unbearable was so parking availability, and the breakfast options was even worse."
negative,I can't believe how terrible this place was. The parking availability was a disaster and the security was appalling.
negative,Worst experience ever! The dreadful was air conditioning and the pool ruined my trip.
negative,A huge letdown. The unbearable was view from the room and the breakfast options was below standard.
negative,Avoid at all costs! The shocking was staff friendliness and the noise levels made it unbearable.
negative,Avoid at all costs! The poor was parking availability and the location made it unbearable.
negative,"The stay was completely poor. The food quality was awful, and the security was unacceptable."
negative,"The stay was completely terrible. The customer service was awful, and the gym was unacceptable."
negative,Do yourself a favor and skip this one. The terrible was bathroom facilities and the security was unacceptable.
negative,A huge letdown. The shocking was view from the room and the parking availability was below standard.
negative,"The stay was completely disgusting. The location was awful, and the spa was unacceptable."
negative,Worst experience ever! The miserable was pool and the spa ruined my trip.
negative,"The stay was completely dirty. The pool was awful, and the parking availability was unacceptable."
negative,"I regret booking here. The disgusting was so room cleanliness, and the bathroom facilities was even worse."
negative,A huge letdown. The dirty was security and the gym was below standard.
negative,A huge letdown. The subpar was bed comfort and the gym was below standard.
negative,I can't believe how subpar this place was. The view from the room was a disaster and the room cleanliness was appalling.
negative,Never staying here again! The dreadful was completely restaurant service and the air conditioning was miserable.
negative,Do yourself a favor and skip this one. The unbearable was restaurant service and the customer service was unacceptable.
negative,Do yourself a favor and skip this one. The frustrating was air conditioning and the room cleanliness was unacceptable.
negative,Worst experience ever! The nightmarish was bathroom facilities and the customer service ruined my trip.
negative,"The stay was completely frustrating. The parking availability was awful, and the breakfast options was unacceptable."
negative,"I had high hopes, but the terrible was customer service and the security was disappointing."
negative,It was a nightmare! The miserable was check-in process and the spa was simply horrible.
negative,Worst experience ever! The poor was room cleanliness and the noise levels ruined my trip.
negative,Worst experience ever! The pathetic was bed comfort and the bar ruined my trip.
negative,"I regret booking here. The disgusting was so food quality, and the view from the room was even worse."
negative,Avoid at all costs! The frustrating was location and the restaurant service made it unbearable.
negative,Do yourself a favor and skip this one. The unacceptable was food quality and the customer service was unacceptable.
negative,I can't believe how disgusting this place was. The gym was a disaster and the spa was appalling.
negative,"I regret booking here. The dirty was so gym, and the bed comfort was even worse."
negative,"I regret booking here. The horrible was so room cleanliness, and the restaurant service was even worse."
negative,I can't believe how dirty this place was. The pool was a disaster and the noise levels was appalling.
negative,It was a nightmare! The dirty was restaurant service and the bed comfort was simply horrible.
negative,It was a nightmare! The disgusting was pool and the food quality was simply horrible.
negative,I can't believe how awful this place was. The restaurant service was a disaster and the customer service was appalling.
negative,It was a nightmare! The pathetic was security and the bar was simply horrible.
negative,"I had high hopes, but the horrible was spa and the check-in process was disappointing."
negative,Worst experience ever! The shocking was WiFi speed and the view from the room ruined my trip.
negative,"I regret booking here. The terrible was so location, and the food quality was even worse."
negative,Do yourself a favor and skip this one. The terrible was gym and the bar was unacceptable.
negative,I can't believe how pathetic this place was. The WiFi speed was a disaster and the location was appalling.
negative,Avoid at all costs! The disgusting was breakfast options and the security made it unbearable.
negative,"I had high hopes, but the disgusting was breakfast options and the bar was disappointing."
negative,I can't believe how nightmarish this place was. The air conditioning was a disaster and the bar was appalling.
negative,Do yourself a favor and skip this one. The miserable was check-in process and the security was unacceptable.
negative,It was a nightmare! The frustrating was air conditioning and the restaurant service was simply horrible.
negative,It was a nightmare! The horrible was bar and the bed comfort was simply horrible.
negative,"I regret booking here. The horrible was so breakfast options, and the parking availability was even worse."
negative,"I had high hopes, but the dreadful was pool and the food quality was disappointing."
negative,Do yourself a favor and skip this one. The subpar was food quality and the WiFi speed was unacceptable.
negative,Avoid at all costs! The terrible was bar and the customer service made it unbearable.
negative,Do yourself a favor and skip this one. The poor was security and the WiFi speed was unacceptable.
negative,A huge letdown. The horrible was spa and the breakfast options was below standard.
negative,Do yourself a favor and skip this one. The dreadful was bathroom facilities and the air conditioning was unacceptable.
negative,"The stay was completely awful. The food quality was awful, and the customer service was unacceptable."
negative,"I had high hopes, but the dirty was location and the view from the room was disappointing."
negative,Worst experience ever! The poor was breakfast options and the room cleanliness ruined my trip.
negative,"I regret booking here. The dreadful was so restaurant service, and the security was even worse."
negative,Do yourself a favor and skip this one. The awful was staff friendliness and the food quality was unacceptable.
negative,Never staying here again! The nightmarish was completely room cleanliness and the bar was miserable.
negative,Worst experience ever! The unbearable was bed comfort and the pool ruined my trip.
negative,A huge letdown. The nightmarish was restaurant service and the location was below standard.
negative,I can't believe how dreadful this place was. The security was a disaster and the pool was appalling.
negative,A huge letdown. The pathetic was gym and the check-in process was below standard.
negative,Never staying here again! The unacceptable was completely bathroom facilities and the food quality was miserable.
negative,"The stay was completely terrible. The parking availability was awful, and the room cleanliness was unacceptable."
negative,A huge letdown. The shocking was gym and the pool was below standard.
negative,Worst experience ever! The shocking was bed comfort and the spa ruined my trip.
negative,I can't believe how nightmarish this place was. The food quality was a disaster and the view from the room was appalling.
negative,It was a nightmare! The miserable was spa and the gym was simply horrible.
negative,"The stay was completely disgusting. The bathroom facilities was awful, and the WiFi speed was unacceptable."
negative,It was a nightmare! The terrible was noise levels and the bathroom facilities was simply horrible.
negative,"I regret booking here. The unbearable was so bed comfort, and the bar was even worse."
negative,It was a nightmare! The terrible was security and the customer service was simply horrible.
negative,I can't believe how pathetic this place was. The breakfast options was a disaster and the gym was appalling.
negative,"I had high hopes, but the frustrating was gym and the food quality was disappointing."
negative,It was a nightmare! The miserable was staff friendliness and the air conditioning was simply horrible.
negative,Avoid at all costs! The awful was bar and the pool made it unbearable.
negative,"I had high hopes, but the awful was WiFi speed and the customer service was disappointing."
negative,I can't believe how pathetic this place was. The air conditioning was a disaster and the spa was appalling.
negative,Do yourself a favor and skip this one. The miserable was room cleanliness and the parking availability was unacceptable.
negative,A huge letdown. The unacceptable was restaurant service and the gym was below standard.
negative,"I regret booking here. The dirty was so room cleanliness, and the gym was even worse."
negative,"I regret booking here. The unbearable was so noise levels, and the security was even worse."
negative,Never staying here again! The nightmarish was completely staff friendliness and the check-in process was miserable.
negative,"The stay was completely terrible. The food quality was awful, and the bar was unacceptable."
negative,I can't believe how miserable this place was. The noise levels was a disaster and the bar was appalling.
negative,"I had high hopes, but the dirty was security and the spa was disappointing."
negative,"I regret booking here. The awful was so check-in process, and the bar was even worse."
negative,It was a nightmare! The pathetic was gym and the customer service was simply horrible.
negative,It was a nightmare! The awful was parking availability and the gym was simply horrible.
negative,"The stay was completely poor. The breakfast options was awful, and the bed comfort was unacceptable."
negative,"I regret booking here. The subpar was so check-in process, and the noise levels was even worse."
negative,Avoid at all costs! The unbearable was bar and the room cleanliness made it unbearable.
negative,I can't believe how subpar this place was. The bed comfort was a disaster and the security was appalling.
negative,A huge letdown. The pathetic was bar and the gym was below standard.
negative,I can't believe how miserable this place was. The air conditioning was a disaster and the staff friendliness was appalling.
negative,"The stay was completely unacceptable. The check-in process was awful, and the breakfast options was unacceptable."
negative,Do yourself a favor and skip this one. The pathetic was restaurant service and the breakfast options was unacceptable.
negative,Avoid at all costs! The awful was room cleanliness and the bed comfort made it unbearable.
negative,Worst experience ever! The frustrating was spa and the location ruined my trip.
negative,I can't believe how unbearable this place was. The room cleanliness was a disaster and the breakfast options was appalling.
negative,"The stay was completely awful. The view from the room was awful, and the customer service was unacceptable."
negative,"I had high hopes, but the shocking was food quality and the WiFi speed was disappointing."
negative,Avoid at all costs! The poor was room cleanliness and the breakfast options made it unbearable.
negative,Do yourself a favor and skip this one. The nightmarish was parking availability and the view from the room was unacceptable.
negative,"I regret booking here. The poor was so spa, and the location was even worse."
negative,Never staying here again! The miserable was completely parking availability and the view from the room was miserable.
